primary_country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,>15
Argentina,2,13,15,7,10,10,8,4,7,3,1,3,3,4,0,1,20
Australia,77,263,211,139,109,65,48,36,38,31,13,15,15,12,5,5,56
Austria,61,128,100,51,27,26,29,28,12,11,9,7,4,8,8,8,45
Bangladesh,0,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,7
Belgium,25,101,112,78,45,36,27,23,11,18,10,9,5,9,5,5,33
Bolivia,0,0,0,1,2,1,1,1,1,0,1,0,1,0,1,0,5
Botswana,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
Brazil,1,35,31,33,14,10,10,7,14,8,4,0,9,4,3,2,33
Bulgaria,0,4,5,3,5,1,1,2,1,2,1,0,0,0,1,0,12
Cameroon,0,0,1,0,2,2,0,2,1,0,0,0,0,2,1,0,7
Canada,125,369,244,142,92,74,56,38,38,39,13,10,16,19,8,8,59
Center for Astrophysics,0,4,0,3,1,1,3,0,1,3,0,0,0,3,1,2,2
Chile,2,12,17,15,12,20,16,7,11,11,3,2,4,2,2,5,22
China,833,920,427,198,97,61,45,25,25,29,16,10,11,9,6,4,52
China [],0,7,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0
Colombia,0,5,1,5,3,7,2,2,1,2,2,0,1,3,2,2,19
Costa Rica,0,2,0,1,1,0,1,0,1,0,0,1,0,0,0,0,9
Croatia,0,5,3,3,2,4,1,2,0,3,0,1,3,1,0,3,16
Czech Republic,0,19,20,12,9,7,5,7,5,2,7,3,8,7,6,4,27
Czechia,0,2,1,0,3,1,1,3,0,0,0,0,1,0,0,1,5
Côte d'Ivoire,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,5
Democratic Republic of the Congo,0,1,0,0,2,0,0,4,1,0,0,0,0,1,0,0,2
Denmark,39,96,126,78,59,38,31,24,22,22,13,8,7,10,5,4,45
Ecuador,0,0,2,0,1,3,0,1,1,1,0,0,2,0,0,0,10
Egypt,0,0,5,1,0,1,2,0,4,2,0,0,3,2,0,0,4
Estonia,0,2,3,6,5,7,3,5,4,5,0,2,2,2,4,1,27
Ethiopia,2,2,2,4,2,5,2,1,0,0,0,0,0,0,1,0,3
Finland,8,32,37,32,22,15,9,8,7,8,7,3,5,6,7,3,42
France,137,353,329,232,145,106,70,56,43,40,27,21,22,20,7,10,68
France [],0,2,2,2,3,1,1,0,2,0,0,0,1,0,0,0,0
Georgia,1,1,2,0,2,0,0,0,0,0,1,1,1,1,1,0,4
Germany,497,864,694,385,244,143,106,82,61,57,25,19,20,20,13,11,72
Germany [],0,4,5,3,3,2,1,0,3,0,0,0,0,0,0,0,0
Greece,4,8,12,7,4,2,4,3,6,4,3,2,6,4,1,2,19
Guinea,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0
Hong Kong,0,4,5,5,5,3,2,1,0,2,0,1,3,0,1,0,2
Hungary,1,14,14,11,5,6,7,3,5,7,4,2,3,2,4,4,22
Iceland,4,4,5,3,2,2,7,2,3,2,1,2,0,3,1,1,20
India,10,21,23,20,10,12,15,3,8,6,3,0,1,8,4,3,33
Indonesia,0,8,2,5,4,4,4,3,1,1,0,0,1,1,0,0,13
Iran,0,1,4,0,2,0,2,1,4,1,1,0,2,1,0,0,10
Ireland,4,25,22,15,13,16,6,4,11,10,3,2,4,6,4,7,30
Israel,93,189,101,56,46,17,18,13,7,16,4,3,4,2,1,4,20
Italy,26,133,130,70,89,49,39,33,37,34,13,12,22,16,7,11,57
Japan,186,376,220,114,67,48,39,22,19,28,12,12,11,8,4,4,44
Kazakhstan,0,1,1,0,1,1,0,1,1,1,3,0,1,3,1,0,8
Kenya,0,6,7,6,3,4,3,3,6,1,2,0,0,0,1,0,10
Lithuania,1,3,3,1,1,1,0,0,0,0,0,0,0,0,1,0,9
Luxembourg,0,4,4,4,1,2,2,2,0,0,0,2,0,0,0,0,4
MO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Malaysia,0,5,2,1,3,1,1,1,1,5,1,2,0,3,1,0,17
Mali,0,1,3,3,1,2,0,1,0,0,0,0,0,0,0,0,0
Massachusetts  USA,0,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,1,8,17,8,11,10,8,2,10,3,1,2,3,4,2,1,24
Mongolia,0,1,1,2,1,1,0,0,1,0,2,0,0,3,0,0,7
Morocco,0,0,2,1,4,0,1,2,2,1,0,1,0,1,0,0,6
New Zealand,3,28,12,27,7,9,11,3,4,4,2,2,5,5,4,1,24
Nigeria,0,2,1,2,1,3,0,0,1,0,2,1,2,0,0,1,9
Norway,10,33,28,33,21,18,15,11,8,11,5,6,3,9,4,3,36
PR China,1,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Pakistan,0,2,0,1,2,0,1,0,0,0,0,0,2,1,0,0,6
