primary_country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,>15
Argentina,0.018018018018018018,0.11711711711711711,0.13513513513513514,0.06306306306306306,0.09009009009009009,0.09009009009009009,0.07207207207207207,0.036036036036036036,0.06306306306306306,0.02702702702702703,0.009009009009009009,0.02702702702702703,0.02702702702702703,0.036036036036036036,0.0,0.009009009009009009,0.18018018018018017
Australia,0.06766256590509666,0.23110720562390158,0.18541300527240773,0.12214411247803164,0.09578207381370826,0.05711775043936731,0.0421792618629174,0.03163444639718805,0.033391915641476276,0.027240773286467488,0.011423550087873463,0.013181019332161687,0.013181019332161687,0.01054481546572935,0.004393673110720563,0.004393673110720563,0.0492091388400703
Austria,0.10854092526690391,0.2277580071174377,0.17793594306049823,0.09074733096085409,0.04804270462633452,0.046263345195729534,0.051601423487544484,0.0498220640569395,0.021352313167259787,0.019572953736654804,0.01601423487544484,0.012455516014234875,0.0071174377224199285,0.014234875444839857,0.014234875444839857,0.014234875444839857,0.0800711743772242
Bangladesh,0.0,0.23529411764705882,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4117647058823529
Belgium,0.04528985507246377,0.18297101449275363,0.2028985507246377,0.14130434782608695,0.08152173913043478,0.06521739130434782,0.04891304347826087,0.041666666666666664,0.019927536231884056,0.03260869565217391,0.018115942028985508,0.016304347826086956,0.009057971014492754,0.016304347826086956,0.009057971014492754,0.009057971014492754,0.059782608695652176
Bolivia,0.0,0.0,0.0,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.3333333333333333
Botswana,0.0,0.5,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
Brazil,0.0045871559633027525,0.16055045871559634,0.14220183486238533,0.15137614678899083,0.06422018348623854,0.045871559633027525,0.045871559633027525,0.03211009174311927,0.06422018348623854,0.03669724770642202,0.01834862385321101,0.0,0.04128440366972477,0.01834862385321101,0.013761467889908258,0.009174311926605505,0.15137614678899083
Bulgaria,0.0,0.10526315789473684,0.13157894736842105,0.07894736842105263,0.13157894736842105,0.02631578947368421,0.02631578947368421,0.05263157894736842,0.02631578947368421,0.05263157894736842,0.02631578947368421,0.0,0.0,0.0,0.02631578947368421,0.0,0.3157894736842105
Cameroon,0.0,0.0,0.05555555555555555,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.05555555555555555,0.0,0.0,0.0,0.0,0.1111111111111111,0.05555555555555555,0.0,0.3888888888888889
Canada,0.09259259259259259,0.2733333333333333,0.18074074074074073,0.10518518518518519,0.06814814814814815,0.054814814814814816,0.04148148148148148,0.028148148148148148,0.028148148148148148,0.028888888888888888,0.00962962962962963,0.007407407407407408,0.011851851851851851,0.014074074074074074,0.005925925925925926,0.005925925925925926,0.0437037037037037
Center for Astrophysics,0.0,0.16666666666666666,0.0,0.125,0.041666666666666664,0.041666666666666664,0.125,0.0,0.041666666666666664,0.125,0.0,0.0,0.0,0.125,0.041666666666666664,0.08333333333333333,0.08333333333333333
Chile,0.012269938650306749,0.0736196319018405,0.10429447852760736,0.09202453987730061,0.0736196319018405,0.12269938650306748,0.09815950920245399,0.04294478527607362,0.06748466257668712,0.06748466257668712,0.018404907975460124,0.012269938650306749,0.024539877300613498,0.012269938650306749,0.012269938650306749,0.03067484662576687,0.13496932515337423
China,0.3009393063583815,0.33236994219653176,0.15426300578034682,0.07153179190751445,0.03504335260115607,0.02203757225433526,0.01625722543352601,0.009031791907514452,0.009031791907514452,0.010476878612716763,0.005780346820809248,0.0036127167630057803,0.003973988439306358,0.0032514450867052024,0.002167630057803468,0.001445086705202312,0.01878612716763006
China [],0.0,0.3888888888888889,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,0.0,0.08771929824561403,0.017543859649122806,0.08771929824561403,0.05263157894736842,0.12280701754385964,0.03508771929824561,0.03508771929824561,0.017543859649122806,0.03508771929824561,0.03508771929824561,0.0,0.017543859649122806,0.05263157894736842,0.03508771929824561,0.03508771929824561,0.3333333333333333
Costa Rica,0.0,0.125,0.0,0.0625,0.0625,0.0,0.0625,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.5625
