,PMID,Title,Pub types,Author,Affiliations
0,39715627,Steering perovskite precursor solutions for multijunction photovoltaics.,,  - Shuaifeng Hu,"Clarendon Laboratory, Department of Physics, University of Oxford, Oxford, UK. shuaifeng.hu@physics.ox.ac.uk.|Institute for Chemical Research, Kyoto University, Gokasho Uji-city, Kyoto, Japan. shuaifeng.hu@physics.ox.ac.uk."
1,39715627,Steering perovskite precursor solutions for multijunction photovoltaics.,,  - Junke Wang,"Clarendon Laboratory, Department of Physics, University of Oxford, Oxford, UK."
2,39715627,Steering perovskite precursor solutions for multijunction photovoltaics.,,  - Pei Zhao,"Clarendon Laboratory, Department of Physics, University of Oxford, Oxford, UK.|Research Center for Computational Science, Institute for Molecular Science, Okazaki, Japan."
3,39715627,Steering perovskite precursor solutions for multijunction photovoltaics.,,  - Jorge Pascual,"Institute for Chemical Research, Kyoto University, Gokasho Uji-city, Kyoto, Japan.|Polymat, University of the Basque Country - UPV/EHU, Donostia-San Sebastian, Spain."
4,39715627,Steering perovskite precursor solutions for multijunction photovoltaics.,,  - Jianan Wang,"Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology (HUST), Wuhan, China.|Hubei Optics Valley Laboratory, Wuhan, China."
5,39715627,Steering perovskite precursor solutions for multijunction photovoltaics.,,  - Florine Rombach,"Clarendon Laboratory, Department of Physics, University of Oxford, Oxford, UK."
6,39715627,Steering perovskite precursor solutions for multijunction photovoltaics.,,  - Akash Dasgupta,"Clarendon Laboratory, Department of Physics, University of Oxford, Oxford, UK."
7,39715627,Steering perovskite precursor solutions for multijunction photovoltaics.,,  - Wentao Liu,"Institute for Chemical Research, Kyoto University, Gokasho Uji-city, Kyoto, Japan."
8,39715627,Steering perovskite precursor solutions for multijunction photovoltaics.,,  - Minh Anh Truong,"Institute for Chemical Research, Kyoto University, Gokasho Uji-city, Kyoto, Japan."
9,39715627,Steering perovskite precursor solutions for multijunction photovoltaics.,,  - He Zhu,"Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology (HUST), Wuhan, China.|Hubei Optics Valley Laboratory, Wuhan, China."
10,39715627,Steering perovskite precursor solutions for multijunction photovoltaics.,,  - Manuel Kober-Czerny,"Clarendon Laboratory, Department of Physics, University of Oxford, Oxford, UK."
11,39715627,Steering perovskite precursor solutions for multijunction photovoltaics.,,  - James N Drysdale,"Clarendon Laboratory, Department of Physics, University of Oxford, Oxford, UK."
12,39715627,Steering perovskite precursor solutions for multijunction photovoltaics.,,  - Joel A Smith,"Clarendon Laboratory, Department of Physics, University of Oxford, Oxford, UK."
13,39715627,Steering perovskite precursor solutions for multijunction photovoltaics.,,  - Zhongcheng Yuan,"Clarendon Laboratory, Department of Physics, University of Oxford, Oxford, UK."
14,39715627,Steering perovskite precursor solutions for multijunction photovoltaics.,,  - Guus J W Aalbers,"Molecular Materials and Nanosystems, Eindhoven University of Technology, Eindhoven, The Netherlands.|Institute for Complex Molecular Systems, Eindhoven University of Technology, Eindhoven, The Netherlands."
15,39715627,Steering perovskite precursor solutions for multijunction photovoltaics.,,  - Nick R M Schipper,"Molecular Materials and Nanosystems, Eindhoven University of Technology, Eindhoven, The Netherlands.|Institute for Complex Molecular Systems, Eindhoven University of Technology, Eindhoven, The Netherlands."
16,39715627,Steering perovskite precursor solutions for multijunction photovoltaics.,,  - Jin Yao,"National Thin-Film Cluster Facility for Advanced Functional Materials, Department of Physics, University of Oxford, Oxford, UK."
17,39715627,Steering perovskite precursor solutions for multijunction photovoltaics.,,  - Kyohei Nakano,"RIKEN Center for Emergent Matter Science (CEMS), Wako, Saitama, Japan."
18,39715627,Steering perovskite precursor solutions for multijunction photovoltaics.,,  - Silver-Hamill Turren-Cruz,"Institute for Chemical Research, Kyoto University, Gokasho Uji-city, Kyoto, Japan.|Instituto Universitario de Ciencia de los Materiales (ICMUV), Universitat de València, Paterna, Spain."
19,39715627,Steering perovskite precursor solutions for multijunction photovoltaics.,,  - André Dallmann,"Institut für Chemie, Humboldt-Universität zu Berlin, Berlin, Germany."
20,39715627,Steering perovskite precursor solutions for multijunction photovoltaics.,,  - M Greyson Christoforo,"Clarendon Laboratory, Department of Physics, University of Oxford, Oxford, UK."
21,39715627,Steering perovskite precursor solutions for multijunction photovoltaics.,,  - James M Ball,"Clarendon Laboratory, Department of Physics, University of Oxford, Oxford, UK."
22,39715627,Steering perovskite precursor solutions for multijunction photovoltaics.,,  - David P McMeekin,"Clarendon Laboratory, Department of Physics, University of Oxford, Oxford, UK."
23,39715627,Steering perovskite precursor solutions for multijunction photovoltaics.,,  - Karl-Augustin Zaininger,"Clarendon Laboratory, Department of Physics, University of Oxford, Oxford, UK."
24,39715627,Steering perovskite precursor solutions for multijunction photovoltaics.,,  - Zonghao Liu,"Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology (HUST), Wuhan, China.|Hubei Optics Valley Laboratory, Wuhan, China."
25,39715627,Steering perovskite precursor solutions for multijunction photovoltaics.,,  - Nakita K Noel,"Clarendon Laboratory, Department of Physics, University of Oxford, Oxford, UK."
26,39715627,Steering perovskite precursor solutions for multijunction photovoltaics.,,  - Keisuke Tajima,"RIKEN Center for Emergent Matter Science (CEMS), Wako, Saitama, Japan."
27,39715627,Steering perovskite precursor solutions for multijunction photovoltaics.,,  - Wei Chen,"Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology (HUST), Wuhan, China.|Hubei Optics Valley Laboratory, Wuhan, China."
28,39715627,Steering perovskite precursor solutions for multijunction photovoltaics.,,  - Masahiro Ehara,"Research Center for Computational Science, Institute for Molecular Science, Okazaki, Japan."
