,indicatorId,geoUnit,year,value,magnitude,qualifier
0,OE.5T8.40510,ABW,2000,171.0,,UIS_EST
1,OE.5T8.40510,ABW,2001,152.0,,UIS_EST
2,OE.5T8.40510,ABW,2002,324.0,,UIS_EST
3,OE.5T8.40510,ABW,2003,148.0,,UIS_EST
4,OE.5T8.40510,ABW,2004,248.0,,UIS_EST
5,OE.5T8.40510,ABW,2005,157.0,,UIS_EST
6,OE.5T8.40510,ABW,2006,188.0,,UIS_EST
7,OE.5T8.40510,ABW,2007,178.0,,UIS_EST
8,OE.5T8.40510,ABW,2008,132.0,,UIS_EST
9,OE.5T8.40510,ABW,2009,259.0,,UIS_EST
10,OE.5T8.40510,ABW,2010,507.0,,UIS_EST
11,OE.5T8.40510,ABW,2011,214.0,,UIS_EST
12,OE.5T8.40510,ABW,2012,218.0,,UIS_EST
13,OE.5T8.40510,ABW,2013,229.0,,UIS_EST
14,OE.5T8.40510,ABW,2014,217.0,,UIS_EST
15,OE.5T8.40510,ABW,2015,223.0,,UIS_EST
16,OE.5T8.40510,ABW,2016,240.0,,
17,OE.5T8.40510,ABW,2017,245.0,,
18,OE.5T8.40510,ABW,2018,365.0,,
19,OE.5T8.40510,ABW,2019,346.0,,UIS_EST
20,OE.5T8.40510,ABW,2020,572.0,,
21,OE.5T8.40510,ABW,2021,338.0,,UIS_EST
22,OE.5T8.40510,ABW,2022,331.0,,UIS_EST
23,OE.5T8.40510,ABW,2023,300.0,,UIS_EST
24,OE.5T8.40510,AFG,2000,2454.0,,UIS_EST
25,OE.5T8.40510,AFG,2001,2467.0,,UIS_EST
26,OE.5T8.40510,AFG,2002,2544.0,,UIS_EST
27,OE.5T8.40510,AFG,2003,2549.0,,UIS_EST
28,OE.5T8.40510,AFG,2004,2612.0,,UIS_EST
29,OE.5T8.40510,AFG,2005,2957.0,,UIS_EST
30,OE.5T8.40510,AFG,2006,3437.0,,UIS_EST
31,OE.5T8.40510,AFG,2007,3974.0,,UIS_EST
32,OE.5T8.40510,AFG,2008,4579.0,,UIS_EST
33,OE.5T8.40510,AFG,2009,5527.0,,UIS_EST
34,OE.5T8.40510,AFG,2010,7841.0,,UIS_EST
35,OE.5T8.40510,AFG,2011,9448.0,,UIS_EST
36,OE.5T8.40510,AFG,2012,9874.0,,UIS_EST
37,OE.5T8.40510,AFG,2013,13400.0,,UIS_EST
38,OE.5T8.40510,AFG,2014,19535.0,,UIS_EST
39,OE.5T8.40510,AFG,2015,24256.0,,
40,OE.5T8.40510,AFG,2016,28748.0,,
41,OE.5T8.40510,AFG,2017,29828.0,,
42,OE.5T8.40510,AFG,2018,30524.0,,
43,OE.5T8.40510,AFG,2019,31831.0,,UIS_EST
44,OE.5T8.40510,AFG,2020,33144.0,,
45,OE.5T8.40510,AFG,2021,34238.0,,UIS_EST
46,OE.5T8.40510,AFG,2022,34068.0,,UIS_EST
47,OE.5T8.40510,AFG,2023,34833.0,,UIS_EST
48,OE.5T8.40510,AGO,2000,6359.0,,UIS_EST
49,OE.5T8.40510,AGO,2001,6901.0,,UIS_EST
50,OE.5T8.40510,AGO,2002,7111.0,,UIS_EST
51,OE.5T8.40510,AGO,2003,7876.0,,UIS_EST
52,OE.5T8.40510,AGO,2004,8112.0,,UIS_EST
53,OE.5T8.40510,AGO,2005,9124.0,,UIS_EST
54,OE.5T8.40510,AGO,2006,9426.0,,UIS_EST
55,OE.5T8.40510,AGO,2007,10611.0,,UIS_EST
56,OE.5T8.40510,AGO,2008,7894.0,,UIS_EST
57,OE.5T8.40510,AGO,2009,9318.0,,UIS_EST
58,OE.5T8.40510,AGO,2010,9516.0,,UIS_EST
59,OE.5T8.40510,AGO,2011,9839.0,,UIS_EST
60,OE.5T8.40510,AGO,2012,9430.0,,UIS_EST
61,OE.5T8.40510,AGO,2013,10547.0,,UIS_EST
62,OE.5T8.40510,AGO,2014,12405.0,,UIS_EST
63,OE.5T8.40510,AGO,2015,13613.0,,
64,OE.5T8.40510,AGO,2016,15589.0,,
65,OE.5T8.40510,AGO,2017,15605.0,,
66,OE.5T8.40510,AGO,2018,14280.0,,
67,OE.5T8.40510,AGO,2019,12545.0,,UIS_EST
68,OE.5T8.40510,AGO,2020,12148.0,,
69,OE.5T8.40510,AGO,2021,10862.0,,UIS_EST
70,OE.5T8.40510,AGO,2022,10807.0,,UIS_EST
71,OE.5T8.40510,AGO,2023,11955.0,,UIS_EST
72,OE.5T8.40510,AIA,2001,30.0,,UIS_EST
73,OE.5T8.40510,AIA,2002,51.0,,UIS_EST
74,OE.5T8.40510,AIA,2003,64.0,,UIS_EST
75,OE.5T8.40510,AIA,2004,94.0,,UIS_EST
76,OE.5T8.40510,AIA,2005,100.0,,UIS_EST
77,OE.5T8.40510,AIA,2006,25.0,,UIS_EST
78,OE.5T8.40510,AIA,2007,68.0,,UIS_EST
79,OE.5T8.40510,AIA,2008,151.0,,UIS_EST
80,OE.5T8.40510,AIA,2009,144.0,,UIS_EST
81,OE.5T8.40510,AIA,2010,122.0,,UIS_EST
82,OE.5T8.40510,AIA,2011,107.0,,UIS_EST
83,OE.5T8.40510,AIA,2012,101.0,,UIS_EST
84,OE.5T8.40510,AIA,2013,504.0,,UIS_EST
85,OE.5T8.40510,AIA,2014,269.0,,UIS_EST
86,OE.5T8.40510,AIA,2015,186.0,,UIS_EST
87,OE.5T8.40510,AIA,2016,108.0,,
88,OE.5T8.40510,AIA,2017,167.0,,
89,OE.5T8.40510,AIA,2018,104.0,,
90,OE.5T8.40510,AIA,2019,121.0,,UIS_EST
91,OE.5T8.40510,AIA,2020,143.0,,
92,OE.5T8.40510,AIA,2021,131.0,,UIS_EST
93,OE.5T8.40510,AIA,2022,123.0,,UIS_EST
94,OE.5T8.40510,AIA,2023,117.0,,UIS_EST
95,OE.5T8.40510,AIMS: Asia and the Pacific,2000,648845.0,,
96,OE.5T8.40510,AIMS: Asia and the Pacific,2001,722574.0,,
97,OE.5T8.40510,AIMS: Asia and the Pacific,2002,827132.0,,
98,OE.5T8.40510,AIMS: Asia and the Pacific,2003,919995.0,,
99,OE.5T8.40510,AIMS: Asia and the Pacific,2004,983055.0,,
100,OE.5T8.40510,AIMS: Asia and the Pacific,2005,1049421.0,,
101,OE.5T8.40510,AIMS: Asia and the Pacific,2006,1075029.0,,
102,OE.5T8.40510,AIMS: Asia and the Pacific,2007,1175084.0,,
